,material,perm,a,b,c,core loss (mw/cc)
0,MPP,14,266.22,2.103,1.316,361.4807750725398
1,MPP,26,146.94,2.103,1.357,234.22989913749873
2,MPP,60,72.15,2.103,1.449,164.83288945822483
3,MPP,125,62.22,2.103,1.561,220.30389902904523
4,MPP,147,56.51,2.103,1.598,231.24873954222218
5,MPP,160,56.51,2.103,1.598,231.24873954222218
6,MPP,173,56.51,2.103,1.598,231.24873954222218
7,MPP,200,53.71,2.103,1.624,243.32259495197346
8,MPP,300,53.71,2.103,1.624,243.32259495197346
9,MPP,550,74.76,2.103,1.645,367.6841846964448
10,High Flux,14,968.56,2.218,1.189,614.047354393604
11,High Flux,26,492.31,2.218,1.24,381.0320109524814
12,High Flux,40,492.3143666045741,2.218,1.24,381.0353905631371
13,High Flux,60,246.54,2.218,1.311,251.9051621439501
14,High Flux,125,181.08,2.218,1.378,240.46460058248482
15,High Flux,147,405.59,2.218,1.393,571.1529901273466
16,High Flux,160,390.92,2.218,1.401,567.9954623192469
18,High Flux Special,60,47.507,1.585,1.431,333.41388528538346
19,High Flux Special,125,47.507,1.585,1.431,333.41388528538346
20,Edge,26,278.5928744659646,2.218,1.236,212.27406161170975
21,Edge,60,181.14705076491467,2.218,1.267,155.82109904880892
22,Kool Mµ Hƒ,26,32.22,1.988,1.541,137.47961674201235
23,Kool Mµ Hƒ,60,26.18,1.988,1.541,111.7075222317158
24,Kool Mµ,14,80.55,1.988,1.541,343.6990418550309
25,Kool Mµ,26,52.36,1.988,1.541,223.4150444634316
26,Kool Mµ,40,52.36,1.988,1.541,223.4150444634316
27,Kool Mµ,60,44.3,1.988,1.541,189.0238057626054
28,Kool Mµ,75,44.3,1.988,1.541,189.0238057626054
29,Kool Mµ,90,44.3,1.988,1.541,189.0238057626054
30,Kool Mµ,125,44.3,1.988,1.541,189.0238057626054
31,XFlux,19,509.27060369339534,2.015,1.194,525.4347521731178
32,XFlux,26,581.5419725327989,2.015,1.194,600.0000000000001
33,XFlux,40,581.54,2.015,1.194,599.9979648593993
34,XFlux,60,542.7725076972789,2.015,1.194,560.0
35,XFlux,75,542.7725076972789,2.015,1.194,560.0
36,XFlux,90,542.7725076972789,2.015,1.194,560.0
37,XFlux,125,542.7725076972789,2.015,1.194,560.0
38,75-Series,26,271.0,2.031,1.44,705.4822593902051
39,75-Series,40,309.0,2.14,1.46,676.7911729095139
40,75-Series,60,251.4,2.066,1.41,536.9242009132528
41,Kool Mµ MAX,14,144.49,2.072,1.379,269.5984723884824
42,Kool Mµ MAX,19,128.8370262564841,2.072486133931544,1.3788687719860255,240.0
43,Kool Mµ MAX,26,113.53016772226745,2.072486133931544,1.3788687719860255,211.48610026981967
44,Kool Mµ MAX,40,113.53016772226745,2.072486133931544,1.3788687719860255,211.48610026981967
45,Kool Mµ MAX,60,113.53016772226745,2.072486133931544,1.3788687719860255,211.48610026981967
46,"Kool Mµ 
E-core, U-core, Block",14,29.3,1.988,1.541,125.02025979332595
47,"Kool Mµ 
E-core, U-core, Block",26,32.22,1.988,1.541,137.47961674201235
48,"Kool Mµ 
E-core, U-core, Block",40,34.23,1.988,1.541,146.0560919018958
49,"Kool Mµ 
E-core, U-core, Block",60,42.29,1.988,1.541,180.44733060272196
50,"Kool Mµ 
E-core, U-core, Block",90,46.32,1.988,1.541,197.64294995313506
51,"XFlux E-core, U-core, Block",26,242.31,2.015,1.194,250.00087159108756
52,"XFlux E-core, U-core, Block",40,387.69,2.015,1.194,399.99520410692395
53,"XFlux E-core, U-core, Block",60,436.16,2.015,1.194,450.00363234356297
54,High Flux EQ & LP,26,169.8,2.165,1.357,234.6604946440089
55,High Flux EQ & LP,40,119.0,2.183,1.443,220.88217884096267
56,High Flux EQ & LP,60,47.8,2.201,1.64,183.9664821375831
57,Kool Mµ EQ & LP,26,90.4,2.044,1.451,238.43714156093498
58,Kool Mµ EQ & LP,40,139.2,2.018,1.287,205.21714003097333
59,Kool Mµ EQ & LP,60,137.6,2.032,1.296,203.46211725740778
60,XFlux EQ & LP,26,165.7,2.182,1.509,399.08760999549435
61,XFlux EQ & LP,40,425.8,2.209,1.25,349.87923035898547
62,XFlux EQ & LP,60,644.2,2.192,1.152,375.175236932587
