,input,output
0,2700,0.42499999999999993
1,2800,0.42499999999999993
2,2900,0.6000000000000001
3,3000,0.7749999999999999
4,3100,0.9450000000000001
5,3200,1.12
6,3300,1.29
7,3400,1.55
8,3500,2.055
9,3600,2.645
10,3700,3.2350000000000003
11,3800,3.825
12,3900,4.415
13,4000,5.005
14,4100,5.645
15,4200,6.51
16,4300,7.52
17,4400,8.655000000000001
18,4500,9.935
19,4600,11.370000000000001
20,4700,12.969999999999999
21,4800,14.759999999999998
22,4900,16.745
23,5000,18.95
24,5100,21.395
25,5200,24.1
26,5300,27.09
27,5400,30.375
28,5500,33.995
29,5600,37.965
30,5700,42.315
31,5800,47.075
32,5900,52.28
33,6000,57.95
34,6100,64.13
35,6200,70.85000000000001
36,6300,79.065
37,6400,85.78999999999999
38,6500,92.59
39,6600,100.0
